Routine,Line,GloRef,GloSet,GloKill,DirBlkRd,UpntBlkRd,BpntBlkRd,DataBlkRd,BdataBlkRd,MapBlkRd,OthBlkRd,DirBlkWt,UpntBlkWt,BpntBlkWt,DataBlkWt,BdataBlkWt,MapBlkWt,OthBlkWt,DirBlkBuf,UpntBlkBuf,BpntBlkBuf,DataBlkBuf,BdataBlkBuf,MapBlkBuf,OthBlkBuf,JrnEntry,BlkAlloc,NetGloRef,NetGloSet,NetGloKill,NetReqSent,NCacheHit,NCacheMiss,NetLock,RtnLine,RtnLoad,RtnFetch,LockCom,LockSucc,LockFail,TermRead,TermWrite,TermChRd,TermChWrt,SeqRead,SeqWrt,IJCMsgRd,IJCMsgWt,IJCNetMsg,Retransmit,BuffSent,Time,TotalTime,Code
Isc.JSONFiltering.DynObjSearchCriteria.1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"zcmSearchCriteria(inputJSON,searchCriteria) public {"
Isc.JSONFiltering.DynObjSearchCriteria.1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000078,0.000173,"    Return:inputJSON.%Size()=0 inputJSON"
Isc.JSONFiltering.DynObjSearchCriteria.1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000060,0.000768,"    Set dynObjSearching = ..%New(inputJSON,searchCriteria)"
Isc.JSONFiltering.DynObjSearchCriteria.1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000076,7.891964,"    Return dynObjSearching.search() }"
Isc.JSONFiltering.DynObjSearchCriteria.1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"zcreateProperties() public {"
Isc.JSONFiltering.DynObjSearchCriteria.1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000080,0.000253,"    Set iter = ..searchCriteria.%GetIterator()"
Isc.JSONFiltering.DynObjSearchCriteria.1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000030,0.000214,"    While iter.%GetNext(.key , .nestedTab ) {"
Isc.JSONFiltering.DynObjSearchCriteria.1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000024,0.000087,"        Set property = nestedTab.%Get(0)"
Isc.JSONFiltering.DynObjSearchCriteria.1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000018,0.000337,"        Set type = ..getType(property)"
Isc.JSONFiltering.DynObjSearchCriteria.1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000018,0.000059,"        Set expression = ..getExpression(property)"
Isc.JSONFiltering.DynObjSearchCriteria.1,73,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,34,136,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000584,3.579916,"        Do ..db.%CreateProperty(property, type , expression, 0)"
Isc.JSONFiltering.DynObjSearchCriteria.1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000051,0.000051,"    }"
